ID, name, author, year
150, Computer Science, Andrew Meyenn; Richard Jones,
151, Computer Science, Mari Rich,
152, Computer Science, Alfonso F. Cardenas, 1972
153, Computer Science, David Woodhouse,
154, Computer Science, J. Stanley Warford, 1991
155, GATE 2017 Computer Science &amp; IT, Unknown,
156, Logics for Computer Science, Arindama Singh, 2004
157, Fundamental Concepts in Computer Science, Erol Gelenbe; Jean-Pierre Kahane, 2009
158, Great Jobs for Computer Science Majors, Jan Goldberg; Mark Rowh, 1997
159, Invitation to Computer Science: C++ Version, G. Michael Schneider; Judith L. Gersting, 2004
160, Connecting with Computer Science, Greg Anderson; David Ferro; Robert Hilton, 2010
161, Experiments In Computer Science   C Version, J. Glenn Brookshear,
162, Object Technology Today: Lessons From Award Winning Commercial Applications, Computer Science Corporation, 1996
163, Thought Contagion: When Ideas ACT Like Viruses, Aaron Lynch, 1996
164, Computer Science: Discovering God&#39;s Glory in Ones and Zeros, Jonathan R. Stoddard, 2015
165, Computer Science: A Breadth-First Approach with Pascal, Paul Nagin; John Impagliazzo, 1995
166, Principles Of Programming Languages, Gilles Dowek, 2009
167, Introduction to Computer Science, ITL Education Solutions Limited, 2011
168, Theoretical Foundations of Computer Sciences, Dino Mandrioli; Carlo Ghezzi, 1987
169, MCQs in Computer Science, Timothy J.  Williams, 2010
170, Encyclopedia of Computer Science and Engineering, Anthony Ralston; Edwin D. Reilly, 1983
171, Mathematical Foundation of Computer Science, Rakesh Dube; Adesh Pandey, 2002
172, A Computer Science Tapestry, Owen L. Astrachan,
173, Mathematical Foundation for Computer Science, M Vasanthi, 2012
174, Introduction to Computer Science with C++, Kenneth A. Lambert; Thomas L. Naps; Douglas W. Nance, 2000
175, The Art Of Programming: Computer Science With C, Steven C. Lawlor, 1996
176, Lectures on Discrete Mathematics for Computer Science, Bakhadyr Khoussainov; Nodira Khoussainova, 2011
177, Storyboarding: Turning Script to Motion, Stephanie Torta; Vladimir Minuty, 2011
178, An Invitation To Computer Science, Michael G. Schneider; Thomas Whaley; Kenneth A. Lambert,
179, Logic and Language Models for Computer Science, Henry Hamburger,
180, Computing: Computer Science, C.S. French, 1996
181, Fundamentals Of Computer Science Using Java, David Hughes, 2002
182, Three Views of Logic: Mathematics+ Philosophy+ and Computer Science, Donald W. Loveland; Richard E. Hodel; S.G. Sterrett, 2013
183, Elements Of Computer Science, Glyn Emery,
184, Questions and Answers in Computer Science, D.P. Nagpal, 1999
185, Computer Science Education Research, Sally Fincher; Marian Petre, 2004
186, Logic For Computer Science, Steve Reeves; Michael Clarke, 1990
187, PROLOG for Computer Science, M.S. Dawe; C.M. Dawe, 1994
188, Get Set for Computer Science, Alistair Edwards, 2006
189, The Beauty of Mathematics in Computer Science, Jun Wu,
190, Game Production Handbook+ 2/E(w CD-ROM) (Computer Science)(Game Development), Heather Maxwell Chandler, 2008
191, Introduction to Computer Science Using Python, Charles Dierbach,
192, Digital Filmmaking: An Introduction, Pete Shaner, 2010
193, Computer Science and IT: Investigating a Cyber Attack, Anne Rooney, 2013
194, Applied Discrete Structures For Computer Science, Alan Doerr, 1985
195, Graph Theory with Applications to Engineering and Computer Science, Narsingh Deo,
196, Programming in Modula-2, Niklaus Wirth, 1985
197, Computer Science, Ricardo Baeza-Yates; U Manber, 1992
198, Computer Science, Susan K. Baumann, 1992
199, Computer Science, DIANE Publishing Company, 1993
200, Computer Science, National Learning Corporation, 1997
201, Computer Science, Peter Kenneth Harvey,
202, Computer Science, Alexande Gelukh; A. Gelbukh,
203, Computer Science, an Robertson Sinclair, 1990
204, Computer Science, Springer, 2011
205, Computer Sciences, David W. Oxtoby,
206, Computer Science, Franklin Watts,
207, Discrete Mathematics for Computer Science [With CDROM], Gary Haggard, 2005
208, Essential Discrete Math for Computer Science, Todd Feil; Joan Krone, 2002
209, Computer Science: The Hardware+ Software and Heart of It, Alfred V. Aho; Edward K. Blum, 2011
210, Computer Science An Overview, Brookshear+ Glenn,
211, Digital Signal Processing: A Computer Science Perspective, Jonathan (Y) Stein, 2000
212, Computer Science with Mathematica: Theory and Practice for Science+ Mathematics+ and Engineering, Roman E. Maeder, 2000
213, Careers in Computer Science and Programming, Jeri Freedman, 2011
214, Mathematical Structures For Computer Science: Solutions Manual, Judith L. Gersting, 1986
215, Handbook of Theoretical Computer Science: Algorithms and Complexity, Jan Van Leeuwen, 1990
216, Fundamentals Of Computer Science, Terry M Walker,
217, Mathematics for Computer Science, A. Arnold; Irene Guessarian, 1996
218, Encyclopedia Of Computer Science, Edwin D. Reilly; David Hemmendinger, 2000
219, Fundamental Concepts of Computer Science, Jim Arvo,
220, Computer Science Experiments, Pamela Walker, 2009
221, Fundamentals Of Computer Science, Andrew John Theodore Colin,
222, Encyclopedia of Computer Science, Robert T. Abrams, 2011
223, Computer Science Mathematics, Donald D.  Spencer,
224, Design Theory and Computer Science, Subrata Dasgupta, 1991
225, The Essentials of Computer Science I, Randall Raus, 1996
226, Probability and Statistics for Computer Science, David A. Forsyth,
227, Computer Science Question Bank, Suresh Basandra, 2011
228, Applied Algebra for the Computer Sciences, Arthur Gill, 1976
229, Mathematics for Informatics and Computer Science, Pierre Audibert, 2010
230, Software Testing, S. Koirala; S. Sheikh, 2010
231, Explorations In Computer Science And Psychology, Ian Beardsley, 2014
232, Introduction To Computer Science, Harry Katzan Jr.,
233, Introduction to computer science, Alan J. Perlis, 1975
234, A Basis For Theoretical Computer Science, Michael A. Arbib; A.J. Kfoury, 1981
235, Computer Science: Basic Language, Alexandra I. Forsythe; Elliot I. Organick; Thomas A. Keenan, 1970
236, Mathematics of Discrete Structures for Computer Science, Gordon J. Pace, 2012
237, Epistemic Logic for AI and Computer Science, John-Jules Charles Meyer; W. van der Hoek, 1995
238, Pascal: A New Introduction to Computer Science, Terrence W. Pratt, 1990
239, The Theory of Computer Science: A Programming Approach, Jules M. Brady, 1977
240, Explorations in Computing: An Introduction to Computer Science, John Conery, 2010
241, An Introduction to Computer Science Using C, Maurice Eggen, 1994
242, Articles on Computer Science Books+ Including: The Art of Computer Programming+ the Cathedral and the Bazaar+ Homesteading the Noosphere+ Structure and Interpretation of Computer Programs+ Dragon Book, Hephaestus Books, 2011
243, Barron&#39;s AP Computer Science+ 2007-2008: Levels A and AB, Roselyn Teukolsky, 2006
244, New Understanding Computer Science For Advanced Level, Ray Bradley, 2001
245, An Introduction to the Theory of Computation, Eitan Gurari, 1989
246, Discrete Mathematics with Computer Science Applications, Romualdas Skvarcius, 1986
247, The Facts On File Dictionary Of Computer Science, Valerie Illingworth, 2000
248, Lisp Programming, I. Danicic, 1983
249, Principles of Digital Image Processing: Fundamental Techniques, Wilhelm Burger; Mark J. Burge, 2009
250, Logic for Computer Science: Foundations of Automatic Theorem Proving, Jean H. Gallier, 1985
251, GRE Computer Science (REA) 5th Ed. - The Best Test Prep for the GRE, Benjamin Wells, 2004
252, C Programming for Engineering and Computer Science, H.H. Andrew Tan; Tim B D&#39;Orazio, 1998
253, Be Prepared for the AP Computer Science Exam in Java, Maria Litvin; Sally Bellacqua; Roger Frank, 2003
254, Probability with R: An Introduction with Computer Science Applications, Jane Horgan, 2008
255, Introduction to Computer Science, Vladimir Zwass, 1980
256, Intro to Computer Science 2e, Neill Graham, 1980
257, Theoretical Studies in Computer Science, Jeffrey D. Ullman, 1992
258, Computer Science and Law, Brian Niblett, 1980
259, Computer Science Today, Jan Van Leeuwen, 1995
260, Introduction to Computer Science, Anthony Yalden Montgomery,
261, Computer Science: University Guide, Phil K, 2014
262, Introduction to Computer Science Mathematics, Robert V. Jamison,
263, Relational Methods in Computer Science, C. Brink; C. Brink, 1997
264, Basic Computer Science, John Keith Atkin,
265, Improving Computer Science Education, Charoula Angeli; Djordje Kadijevich; Carsten Schulte, 2012
266, Introduction to Computer Science, Unknown, 1989
267, Introduction To Computer Science, C. William Gear,
268, The Computer Science Problem Solver, Max Fogiel,
269, Introduction to Computer Science, Robert Strandh, 2012
270, Barron&#39;s AP Computer Science A, Roselyn Teukolsky, 2010
271, Khnum-Ptah to Computer: The African Initialization of Computer Science, African Creation Energy, 2013
272, Introduction To Computers And Computer Science, Richard C. Dorf, 1977
273, Advanced Techniques, Brian Harvey, 1997
274, Modelling Computer Systems: The Mathematics Of Computer Science, Faron Moller; Georg Struth, 2012
275, Cambridge IGCSE Computer Science Coursebook, Sarah Lawrey; Donald Scott, 2015
276, Wiley Encyclopedia of Computer Science and Engineering, Benjamin W. Wah,
277, Logic for Computer Science and Artificial Intelligence, Ricardo Caferra, 2011
278, The Nature Of Computation: An Introduction To Computer Science, Ira Pohl,
279, C Programming for Engineering and Computer Science, H.H. Tan; Tim B. D&#39;Orazio, 1998
280, The Art of Computer Programming: Volume 3: Sorting and Searching, Donald Ervin Knuth, 1973
281, Visual Basic 2010 How to Program, Paul Deitel; Harvey Deitel, 2010
282, Ethical and Social Issues in the Information Age, Joseph Migga Kizza, 2003
283, Beyond Programming, Brian Harvey, 1997
284, Introduction to Computer Science Using C+++ 2nd Edition, Todd Knowlton; Knowlton, 1998
285, Linear Algebra and Probability for Computer Science Applications, Ernest Davis, 2012
286, Computation and Reasoning - A Type Theory for Computer Science, Zhaohui Luo, 1994
287, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Kishor S Trivedi,
288, Computer Science and It, Anne Rooney,
289, Computer Science, Jane P. Gardner, 2015
290, Computer Science, Collection of Wikipedia Articles, 2015
291, Computer Science, Pearson Learning Solutions,
292, Computer Science, IntroBooks,
293, Computer science, robert kreed,
294, Classic Game Design: From Pong to Pacman with Unity, Franz Lanzinger, 2013
295, Digital Principles and Logic Design (Engineering) (Computer Science), Arijit Saha; Nilotpal Manna, 2007
296, Cambridge IGCSE Computer Science Revision Guide, David Watson; Helen Williams, 2015
297, C++ for You++: An Introduction to Programming and Computer Science, Maria Litvin; Gary Litvin, 1997
298, Foundations of Programming Languages, Kent D. Lee, 2015
299, Computer Science Reconsidered: The Invocation Model of Process Expression, Karl M. Fant, 2007
300, Symbolic Computing, Brian Harvey, 1997
301, Essential Maths Skills for As/A Level Computer Science, Victoria Ellis; Gavin Craddock,
302, Computer Science: The Python Programming Language, Bradley N. Miller; David L. Ranum, 2006
303, Multiple Question Bank in Computer Science, S.P. Singh, 2005
304, An Introduction to Computer Science: An Algorithmic Approach, Jean Paul Tremblay; Richard B. Bunt, 1979
305, Building Blocks for Theoretical Computer Science, Margaret M. Fleck, 2012
306, English for Computer Science Answer Book, Thomas  Mullen, 1993
307, Komp&#39;yuternye Seti, E. Tanenbaum,
308, Explorations in Computer Science: A Guide to Discovery, R. Mark Meyer; R. Mark Meyer, 2003
309, People &amp; Ideas in Theoretical Computer Science, Cristian S. Calude, 1999
310, Computer Science in Sport: Research and Practice, Arnold Baca, 2014
311, Basics Of Computer Science, Rajiv + Khanna; Khanna Rajiv,
312, Computer Sciences: MacMillan Science Library, Roger R. Flynn, 2002
313, Practical Programming: An Introduction to Computer Science Using Python 3.6, Paul Gries; Jennifer Campbell; Jason Montojo,
314, Fundamentals of Discrete Math for Computer Science: A Problem-Solving Primer, Tom Jenkyns; Ben  Stephenson, 2012
315, Experiments in Computer Science+ Pascal Version: A Laboratory Course to Accompany Computer Science: An Overview, J. Glenn Brookshear, 1994
316, Cambridge IGCSE Computer Science Study and Revision Guide, David Watson; Helen Williams,
317, Summary: Algorithms to Live By: The Computer Science of Human Decisions, Readtrepreneur Publishing,
318, GATE 2015 Computer Science &amp; Information Technology, Anonymous,
319, Handbook of Logic and Proof Techniques for Computer Science, Steven G. Krantz, 2002
320, Encyclopedia Of Computer Science And Technology, Allen  Kent; James G. Williams, 1990
321, Logic: A Foundation for Computer Science, V. Sperschneider; G. Antoniou, 1991
322, Distribution Theory in Computer Science, G. Kalloo; Kirti Singh, 2002
323, Quantum Computer Science, Mermin, 2007
324, Algebraic Combinatorics and Computer Science, H Crapo; D Senato, 2001
325, Connecting with Computer Science, Greg Anderson; Robert Hilton; David L. Ferro, 2010
326, Computer Science, Christopher Newport University,
327, Guide to Teaching Computer Science, Orit Hazzan; Tami Lapidot; Noa Ragonis, 2011
328, Mathematical Foundations of Computer Science, Peter A Fejer; Dan A. Simovici, 1990
329, Artificial Intelligence And Computer Science, Susan Shannon, 2005
330, Living With Computers, B. Blakeley; R.W.B. Lewis, 1980
331, Theoretical Computer Sciences, Franco P. Preparata, 2011
332, Taxonomy of Computer Science and Engineering, Robert L. Et Al Ashenhurst, 1980
333, Introduction to Computer Science, Charles William Gear, 1976
334, The Essentials of Computer Science II, Randall Raus, 1998
335, Java For Ap Computer Science, Tom West; Christine Stephenson, 2003
336, Computers+ Science And Society, Frank Honywill George,
337, Computer Science Research &amp; Technology, Karl C. Verdinand, 2010
338, Introduction to Computer Science, C.W. Gear, 1973
339, Virtualization in Computer Science, Pinkie Ladd, 2012
340, Theoretical Computer Science, Pierpaolo Degano; Ugo Vaccaro; Giuseppe Pirillo, 1998
341, Concise Encyclopeida of Computer Science, David Hemmendinger, 2005
342, Great Papers in Computer Science, Philip Laplante, 1997
343, Gre in Computer Science, EFE/BEN AV; Yusuf Efe, 1993
344, Computer Science: Questions and Answers, George Duckett, 2015
345, Advances in Computer Science and Education, Anne Xie; Xiong Huang, 2012
346, Peeking Into Computer Science, Jalal Kawash, 2009
347, Theoretical Computer Science, A.B. Cremers,
348, Math Companion For Computer Science, Zamir Bavel,
349, Fundamentals of Forensic Computer Science, Delmar Thomson Learning,
350, Introduction to Programming and Computer Science, Anthony Ralston, 1971
351, Great Papers in Computer Science, Phillip A. LaPlante, 1995
352, The Correctness Problem In Computer Science, Robert Boyer,
353, Handbook of Computer Science &amp; IT, Arihant Experts,
354, Great Ideas in Computer Science, Alan W. Biermann, 2014
355, Computer Science -- Theory and Applications, Farid Ablayev; Ernst Mayr, 2010
356, Introduction to Computer Science with Android, Hamzeh Roumani,
357, Improving Computer Science Education, Djordje M Kadijevich; Charoula Angeli; Carsten Schulte, 2012
358, Logic For Computer Science, N. Nissanke,
359, Introduction to Computer Science, Peter Morgan Banks, 1976
360, Categories and Computer Science, R. F. C. Walters,
361, Computer Science and Ambient Intelligence, Gaëlle Calvary; Thierry Delot; Florence Sedes, 2012
362, Theoretical Aspects of Computer Science, G. Khosrovshahi; A. Shokoufandeh, 2002
363, Computer Science Question Bank, Gupta Saurabh,
364, Computer Sciences Volume 2, Roger R. Flynn; Judith A. McGee Blackstone, 2002
365, Fccfound of Computer Science: Instructor&#39;s, Alfred V. Aho; Jeffrey D. Ullman,
366, Computer Science and Information Technology, Jianhon Zhou,
367, Developments in Theoretical Computer Science, J. Dassow, 1994
368, Introduction to Computer Science, Gilbert Brands, 2013
369, Theoretical Computer Science, Peter Deussen, 1981
370, Theoretical Computer Science, Christian S. Calude; Vladimiro Sassone, 2010
371, Computer Science: Research and Applications, Ricardo Baeza-Yates; U Manber, 1992
372, Logic And Computer Science, Piergiorgio Odifreddi, 1997
373, Basics of Computer Science, Rajiv Khanna, 2008
374, Numerical Analysis for Computer Science, Irving Allen Dodes, 1978
375, Discrete Mathematics for Computer Science, Gary Haggard; John Schlipf; Sue Whitesides, 2003
376, Applications of Categories in Computer Science, M.P. Fourman; Peter T. Johnstone; A.M. Pitts, 1992
377, Mathematical Structures for Computer Science, Judith Gersting,
378, Theoretical Computer Science, Franco P. Preparata, 2011
379, OCR A Level Computer Science, George Rouse; Jason Pitt; Sean O&#39;Byrne, 2015
380, Practical Programming: An Introduction to Computer Science Using Python, Jennifer Campbell; Paul Gries; Jason Montojo, 2009
381, Computer Organization And Programming, C. William Gear, 1974
382, Encyclopedia Of Computer Science And Technology Volume 1, Jack Belzer, 1975
383, GRE: Practicing to Take the Computer Science Test, Educational Testing Service, 1996
384, Click Start Level 8: Computer Science for Schools, Anjana Virmani; Shalini Harisukh, 2016
385, Numerical Methods for Computer Science+ Engineering+ and Mathematics, John H. Mathews, 1986
386, Thinking Machines and the Philosophy of Computer Science: Concepts and Principles, Jordi Vallverdu, 2010
387, Theory of Computer Science: Automata+ Languages and Computation, K.L.P. Chandrasekaran, 2010
388, Handbook of Theoretical Computer Science - 2 Vol Set, Jean  Van Leeuwen, 1994
389, What Is Computer Science?: An Information Security Perspective, Daniel Page; Nigel J. Smart, 2013
390, Notes on Introductory Combinatorics (Progress in Computer Science and Applied Logic, George Pólya; Donald R. Woods, 1983
391, Thesis Projects: A Guide for Students in Computer Science and Information Systems, Mikael Berndtsson; Jörgen Hansson, 2007
392, Unsolved Problems in Computer Science &amp; Mathematics, Ferdinand Hawthorne; Octavia Couture, 2012
