ID, name, author, year
56, Guide to digital forensics : a concise and practical introduction, Kävrestad+ Joakim, 2017
57, Computational methods in applied science and engineering, , ©2010
58, Cloud computing : First International Conference+ CloudComp 2009+ Munich+ Germany+ October 19-21+ 2009 : revised selected papers, , ©2010
59, Object-oriented analysis+ design and implementation : an integrated approach, Dathan+ Brahma, 2015
60, Fields of logic and computation : essays dedicated to Yuri Gurevich on the occasion of his 70th birthday, , 2010
61, New science of learning : cognition+ computers and collaboration in education, , c2010
62, Service-oriented computing : 8th international conference+ ICSOC 2010+ San Francisco+ CA+ USA+ December 7-10+ 2010 : proceedings, , 2010
63, Concurrency+ compositionality+ and correctness : essays in honor of Willem-Paul De Roever, , ©2010
64, High performance computing systems and applications : 23rd international symposium+ HPCS 2009+ Kingston+ ON+ Canada+ June 14-17+ 2009 : revised selected papers, , ©2010
65, LATIN 2010 : theoretical informatics : 9th Latin American Symposium+ Oaxaca+ Mexico+ April 19-23+ 2010 : proceedings, , 2010
66, Information computing and applications : international conference+ ICICA 2010+ Tangshan+ China+ October 15-18+ 2010+ proceedings. Part II, , c2010
67, Information computing and applications : First International Conference+ ICICA 2010+ Tangshan+ China+ October 15-18+ 2010 : proceedings, , c2010
68, Elements of computer security, Salomon+ D., c2010
69, Transactions on large-scale data- and knowledge-centered systems II, , c2010
70, Parallel computational fluid dynamics 2008 : parallel numerical methods+ software development and applications, , ©2010
71, Ethics in computing : a concise module, Kizza+ Joseph Migga, 2016
72, Programming languages and operational semantics : a concise overview, Fernández+ Maribel, 2014
73, Fundamentals of predictive text mining, Weiss+ Sholom M., ©2010
74, Memory and the computational brain : why cognitive science will transform neuroscience, Gallistel+ C. R., 2009
75, Model-based reasoning in science and technology : abduction+ logic+ and computational discovery, , c2010
76, Computing and combinatorics : 16th Annual International Conference+ COCOON 2010+ Nha Trang+ Vietnam+ July 19-21+ 2010 : proceedings, , ©2010
77, Computer aided verification : 22nd international conference+ CAV 2010+ Edinburgh+ UK+ July 15-19+ 2010 : proceedings, , ©2010
78, Teaching fundamental concepts of informatics : 4th International Conference on Informatics in Secondary Schools+ Evolution and Perspectives+ ISSEP 2010+ Zurich+ Switzerland+..., , ©2010
79, Distributed computing : 24th international symposium+ DISC 2010+ Cambridge+ MA+ USA+ September 13-15+ 2010 : proceedings, , ©2010
80, LATIN 2010: theoretical informatics : 9th Latin American Symposium+ Oaxaca+ Mexico+ April 19-23+ 2010 ; proceedings, , 2010
81, Ethical and social issues in the information age, Kizza+ Joseph Migga, c2010
82, Guide to intelligent data analysis : how to intelligently make sense of real data, , c2010
83, Power electronics and instrumentation engineering : international conference PEIE 2010+ Kochi+ Kerala+ India+ September 7-9+ 2010+ proceedings, , ©2010
84, Artificial neural networks - ICANN 2010 : 20th International Conference+ Thessaloniki+ Greece+ September 15-18+ 2010+ Proceedings. Part II, , c2010
85, Neural information processing : models and applications+ 17th International Conference+ ICONIP 2010+ Sydney+ Australia+ November 22-25+ 2010+ proceedings. Part II, , c2010
86, Neural information processing : theory and algorithms+ 17th international conference+ ICONIP 2010+ Sydney+ Australia+ November 22-25+ 2010+ proceedings. Part I, , c2010
87, Computational linguistics and intelligent text processing : 11th international conference+ CICLing 2010+ Iasi+ Romania+ March 21-27+ 2010 ; proceedings, , c2010
88, Perspectives of systems informatics : 7th International Andrei Ershov Memorial Conference+ PSI 2009+ Novosibirsk+ Russia+ June 15-19+ 2009 : revised papers, , ©2010
89, Graph transformations : 5th international conference+ ICGT 2010+ Enschede+ the Netherlands+ September 27-October 2+ 2010 : proceedings, , 2010
90, Property testing : current research and surveys, , 2010
91, Functional and logic programming : 10th international symposium+ FLOPS 2010+ Sendai+ Japan+ April 19-21+ 2010 : proceedings, , c2010
92, Languages and compilers for parallel computing : 22nd international workshop+ LCPC 2009+ Newark+ DE+ USA+ October 8-10+ 2009 ; revised selected papers, , c2010
93, Simulated evolution and learning : 8th international conference+ SEAL 2010+ Kanpur+ India+ December 1-4+ 2010 : proceedings, , 2010
94, Latent variable analysis and signal separation : 9th International Conference+ LVA/ICA 2010+ St. Malo+ France+ September 27-30+ 2010+ proceedings, , ©2010
95, Transactions on data hiding and multimedia security V, , ©2010
96, Advances in swarm intelligence : first international conference+ ICSI 2010+ Beijing+ China+ June 12-15+ 2010 ; proceedings. Part II, , ©2010
97, Biomedical simulation : 5th international symposium+ ISBMS 2010+ Phoenix+ AZ+ USA+ January 23-24+ 2010 : proceedings, , ©2010
98, Stabilization+ safety+ and security of distributed systems : 12th international symposium+ SSS 2010+ New York+ NY+ USA+ September 20-22+ 2010+ proceedings, , 2010
99, Algorithm engineering : bridging the gap between algorithm theory and practice, , 2010
100, Computer algebra in scientific computing : 12th international workshop+ CASC 2010+ Tsakhkadzor+ Armenia+ September 6-12+ 2010 : proceedings, , ©2010
101, Computational intelligence and intelligent systems : 5th International Symposium+ ISICA 2010+ Wuhan+ China+ October 22-24+ 2010. proceedings, , c2010
102, Introduction to databases : from biological to spatio-temporal, Revesz+ Peter, ©2010
103, Information and communication technologies : international conference+ ICT 2010+ Kochi+ Kerala+ India+ September 7-9+ 2010+ proceedings, , c2010
104, Information security and assurance : 4th international conference+ ISA 2010+ Miyazaki+ Japan+ June 23-25+ 2010. Proceedings, , c2010
105, Information Processing and Management of Uncertainty in Knowledge-Based Systems : theory and methods+ 13th International Conference+ IPMU 2010+ Dortmund+ Germany+ June 28-July..., , ©2010
106, Information security and privacy : 15th Australasian conference+ ACISP 2010+ Sydney+ Australia+ July 5-7+ 2010 ; proceedings, , 2010
107, Trends in applied intelligent systems : 23rd International Conference on Industrial Engineering and Other Applications of Applied Intelligent Systems+ IEA/AIE 2010+ Cordoba+..., , 2010
108, Prostate cancer imaging : computer-aided diagnosis+ prognosis+ and intervention : international workshop held in conjunction with MICCAI 2010 Beijing+ China+ September 24+ 2010..., , ©2010
109, Service-oriented computing : ICSOC/ServiceWave 2009 Workshops : international workshops+ ICSOC/ServiceWave 2009+ Stockholm+ Sweden+ November 23-27+ 2009 : revised selected..., , 2010
110, Fundamental approaches to software engineering : 13th international conference+ FASE 2010+ held as part of the joint European Conferences on Theory and Practice of Software+..., , 2c010
111, Internet and network economics : 6th international workshop+ WINE 2010+ Stanford+ CA+ USA+ December 13-17+ 2010 : proceedings, , 2010
112, Logic for programming+ artificial Intelligence+ and reasoning : 17th international conference+ LPAR-17+ Yogyakarta+ Indonesia+ October 10-15+ 2010 : proceedings, , 2010
113, Information computing and applications. Part I : international conference+ ICICA 2010+ Tangshan+ China+ October 15-18+ 2010+ proceedings, , ©2010
114, Theory and applications of models of computation : 7th annual conference+ TAMC 2010+ Prague+ Czech Republic+ June 7-11+ 2010 ; proceedings, , ©2010
115, Verification+ induction+ termination analysis : festschrift for Christoph Walther on the occasion of his 60th birthday, , c2010
116, Foundations of intelligent systems : 12th International Symposium+ ISMIS 2000 Charlotte+ NC+ USA+ October 11-14+ 2000+ Proceedings, , c2010
117, Digital ecosystems : third International Conference+ OPAALS 2010+ Aracuju [i.e. Aracajú]+ Sergipe+ Brazil+ March 22-23+ 2010+ Revised selected papers, , ©2010
118, Unconventional computation : 9th international conference+ UC 2010+ Tokyo+ Japan+ June 21-25+ 2010 : proceedings, , 2010
119, Theoretical aspects of computing--ICTAC 2010 : 7th international colloquium+ Natal+ Rio Grande do Norte+ Brazil+ September 1-3+ 2010 : proceedings, , 2010
120, Theoretical aspects of computing--ICTAC 2010 : 7th international colloquium+ Natal+ Rio Grande do Norte+ Brazil+ September 1-3+ 2010 : proceedings, , 2010
121, Advances in computation and intelligence : 5th international symposium+ ISICA 2010+ Wuhan+ China+ October 22-24+ 2010 : proceedings, , 2010
122, Membrane computing : 10th international workshop+ WMC 2009+ Curtea de Arges+ Romania+ August 24-27+ 2009 : revised selected and invited papers, , ©2010
123, Large-scale scientific computing : 7th international conference+ LSSC 2009+ Sozopol+ Bulgaria+ June 4-8+ 2009 : revised papers, , 2010
124, WALCOM : algorithms and computation : 4th international workshop+ WALCOM 2010+ Dhaka+ Bangladesh+ February 10-12+ 2010 : proceedings, , 2010
125, Network and parallel computing : IFIP international conference+ NPC 2010+ Zhengzhou+ China+ September 13-15+ 2010 : proceedings, , 2010
126, Evolutionary computation+ machine learning and data mining in bioinformatics : 8th European conference+ EvoBIO 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings, , c2010
127, Evolutionary computation in combinatorial optimization : 10th European conference+ EvoCOP 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings, , ©2010
128, Languages and compilers for parallel computing : 22nd international workshop+ LCPC 2009+ Newark+ DE+ USA+ October 8-10+ 2009+ revised selected papers, , ©2010
129, Advances in grid and pervasive computing : 5th international conference+ GPC 2010+ Hualien+ Taiwan+ May 10-13+ 2010 : proceedings, , ©2010
130, Swarm+ evolutionary+ and memetic computing : first International Conference on Swarm+ Evolutionary+ and Memetic Computing+ SEMCCO 2010+ Chennai+ India+ December 16-18+ 2010 :..., , 2010
131, Computational linguistics and intelligent text processing : 11th international conference+ CICLing 2010+ Iasi+ Romania+ March 21-27+ 2010+ proceedings, , ©2010
132, A computational model of public support for insurgency and terrorism : a prototype for more-general social-science modeling, Davis+ Paul K., 2013
133, Elements of scientific computing, , ©2010
134, Algorithms and computation : 21st international symposium+ ISAAC 2010+ Jeju Island+ Korea+ December 15-17+ 2010 : proceedings. Part 1, , 2010
135, Mathematics for computer graphics, Vince+ John, c2010
136, Transactions on computational collective intelligence. I, , c2010
137, Transactions on Edutainment IV, , c2010
138, Models in software engineering : workshops and symposia at MODELS 2009+ Denver+ CO+ USA+ October 4-9+ 2009 ; reports and revised selected papers, , 2010
139, Computers helping people with special needs : 12th International Conference+ ICCHP 2010+ Vienna+ Austria+ July 14-16+ 2010. Proceedings. Part I, , ©2010
140, Transactions on aspect-oriented software development VII : a common case study for aspect-oriented modeling, , c2010
141, Advances in information technology : 4th International Conference+ IAIT 2010+ Bangkok+ Thailand+ November 4-5+ 2010 : proceedings, , c2010
142, Transactions on Petri nets and other models of concurrency IV, , 2010
143, The Semantic Web- ISWC 2010 : 9th International Semantic Web Conference+ ISWC 2010+ Shanghai+ China+ November 7-11+ 2010+ revised selected papers. Part II, , 2010
144, ENTERprise information systems : International Conference+ CENTERIS 2010+ Viana do Castelo+ Portugal+ October 20-22+ 2010+ proceedings+ Part II, , 2010
145, ENTERprise information systems : International Conference+ CENTERIS 2010+ Viana do Castelo+ Portugal+ October 20-22+ 2010+ proceedings+ Part I, , 2010
146, Algorithms and computation : 21st International Symposium+ ISAAC 2010+ Jeju+ Korea+ December 15-17+ 2010+ proceedings+ Part II, , 2010
147, Advances in Multimedia Modeling : 16th International Multimedia Modeling Conference+ MMM 2010+ Chongqing+ China+ January 6-8+ 2010. Proceedings, , ©2010
148, Computational modeling of objects represented in images : second international symposium+ CompIMAGE 2010+ Buffalo+ NY+ USA+ May 5-7+ 2010 ; proceedings, , 2010
149, On the move to meaningful internet systems+ OTM 2010 : confederated international conferences: CoopIS+ IS+ DOA and ODBASE+ Hersonissos+ Crete+ Greece+ October 25-29+ 2010+..., , c2010
150, Ambient intelligence : First International Joint Conference+ AmI 2010+ Malaga+ Spain+ November 10-12+ 2010 : proceedings, , c2010
151, On the move to meaningful internet systems : confederated international conferences: CoopIS+ IS+ DOA and ODBASE+ Hersonissos+ Crete+ Greece+ October 25-29+ 1010+ proceedings...., , 2010
152, The Semantic Web- ISWC 2010 : 9th International Semantic Web Conference+ ISWC 2010+ Shanghai+ China+ November 7-11+ 2010+ revised selected papers. Part I, , 2010
153, Recent trends in wireless and mobile networks : Second International Conference+ WiMo 2010+ Ankara+ Turkey+ June 26-28+ 2010. Proceedings, , ©2010
154, Software architecture : 4th European Conference+ ECSA 2010+ Copenhagen+ Denmark+ August 23-26+ 2010 : proceedings, , 2010
155, High performance computing : programming and applications, Levesque+ John M., ©2011
156, Data integration in the life sciences : 7th international conference+ DILS 2010+ Gothenburg+ Sweden+ August 25-27+ 2010 : proceedings, , 2010
157, Mathematics of program construction : 10th international conference+ MPC 2010+ Québec City+ Canada+ June 21-23+ 2010 : proceedings, , 2010
158, Artificial neural networks - ICANN 2010 : 20th international conference+ Thessaloniki+ Greece+ September 15-18+ 2010+ proceedings. Part I, , 2010
159, Artificial neural networks - ICANN 2010 : 20th international conference+ Thessaloniki+ Greece+ September 15-18+ 2010+ proceedings. Part III, , 2010
160, Artificial neural networks--ICANN 2010 : 20th international conference+ Thessaloniki+ Greece+ September 15-18+ 2010 : proceedings, , 2010
161, Neural information processing : 17th international conference+ ICONIP 2010+ Sydney+ Australia+ November 22-25+ 2010 : proceedings, , 2010
162, Genetic programming : 13th European conference+ EuroGP 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings, , c2010
163, Applications of evolutionary computation : EvoApplications 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings. Part II+ EvoCOMNET+ EvoENVIRONMENT+ EvoFIN+ EvoMUSART+ and..., , c2010
164, Applications of evolutionary computation : EvoApplications 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings. Part I+ EvoCOMPLEX+ EvoGAMES+ EvoIASP+ EvoINTELLIGENCE+ EvoNUM+..., , c2010
165, Approximation+ randomization+ and combinatorial optimization : algorithms and techniques : 13th international workshop+ APPROX 2010+ and 14th international workshop+ RANDOM..., , 2010
166, Functional and constraint logic programming : 18th international workshop+ WFLP 2009+ Brasilia+ Brazil+ June 28+ 2009 : revised selected papers, , c2010
167, Artificial evolution : 9th international conference+ Evolution Artificielle+ EA 2009+ Strasbourg+ France+ October 26-28+ 2009 : revised selected papers, , 2010
168, Euro-Par 2010+ parallel processing : 16th International Euro-Par Conference+ Ischia+ Italy+ August 31 - September 3+ 2010+ proceedings. Part I, , 2010
169, Euro-Par 2010+ parallel processing : 16th International Euro-Par Conference+ Ischia+ Italy+ August 31 - September 3+ 2010+ proceedings. Part II, , 2010
170, Formal modeling and analysis of timed systems : 8th international conference+ FORMATS 2010+ Klosterneuburg+ Austria+ September 8-10+ 2010 : proceedings, , 2010
171, Advances in neural networks - ISNN 2010 : 7th International Symposium on Neural Networks+ ISNN 2010+ Shanghai+ China+ June 6-9+ 2010 : proceedings. Part I, , ©2010
172, Formal modeling and analysis of timed systems : 8th international conference+ FORMATS 2010+ Klosterneuburg+ Austria+ September 8-10+ 2010 : proceedings, , 2010
173, Algorithm theory - SWAT 2010 : 12th Scandinavian Symposium and Workshops on Algorithm Theory+ Bergen+ Norway+ June 21-23+ 2010 ; proceedings, , ©2010
174, Evolvable systems : from biology to hardware : 9th international conference+ ICES 2010+ York+ UK+ September 6-8+ 2010 : proceedings, , 2010
175, Stabilization+ safety+ and security of distributed systems : 12th international symposium+ SSS 2010+ New York+ NY+ USA+ September 20-22+ 2010 : proceedings, , 2010
176, Advances in neural networks - ISNN 2010 : 7th International Symposium on Neural Networks+ ISNN 2010+ Shanghai+ China+ June 6-9+ 2010 : proceedings. Part II, , ©2010
177, String processing and information retrieval : 17th international symposium+ SPIRE 2010+ Los Cabos+ Mexico+ October 11-13+ 2010 : proceedings, , 2010
178, Evolvable systems : from biology to hardware : 9th international conference+ ICES 2010+ York+ UK+ September 6-8+ 2010 : proceedings, , 2010
179, Central European Functional Programming School : third summer school+ CEFP 2009+ Budapest+ Hungary+ May 21-23+ 2009 and Komárno+ Slovakia+ May 25-30+ 2009 : revised selected..., , 2010
180, Integrated circuit and system design : power and timing modeling+ optimization and simulation : 19th international workshop+ PATMOS 2009+ Delft+ the Netherlands+ September 9-11+..., , ©2010
181, Genetic programming : 13th European Conference+ EuroGP 2010+ Istanbul+ Turkey+ April 7-9+ 2010 : proceedings, , ©2010
182, Artificial evolution : 9th International Conference Evolution Artificielle+ EA 2009+ Strasbourg+ France+ October 26-28+ 2009 : revised selected papers, , ©2010
183, Facing the multicore-challenge : aspects of new paradigms and technologies in parallel computing, , ©2010
184, Latent variable analysis and signal separation : 9th international conference+ LVA/ICA 2010+ St. Malo+ France+ September 27-30+ 2010 : proceedings, , 2010
185, Job scheduling strategies for parallel processing : 15th international workshop+ JSSPP 2010+ Atlanta+ GA+ USA+ April 23+ 2010 : revised selected papers, , 2010
186, Integration of AI and OR techniques in constraint programming for combinatorial optimization problems : 7th international conference+ CPAIOR 2010+ Bologna+ Italy+ June 14-18+..., , 2010
187, Reachability problems : 4th international workshop+ RP 2010+ Brno+ Czech Republic+ August 28-29+ 2010 : proceedings, , ©2010
188, Algorithms and models for the web-graph : 7th international workshop+ WAW 2010+ Stanford+ CA+ USA+ December 13-14+ 2010 : proceedings, , 2010
189, Functional and constraint logic programming : 18th international workshop+ WFLP 2009+ Brasilia+ Brazil+ June 28+ 2009 ; revised selected papers, , 2010
190, Developments in language theory : 14th international conference+ DLT 2010+ London+ ON+ Canada+ August 17-20+ 2010 : proceedings, , 2010
191, Incentives+ overlays+ and economic traffic control : third international workshop+ ETM 2010+ Amsterdam+ the Netherlands+ September 6+ 2010 : proceedings, , 2010
192, Networks for grid applications : third international ICST conference+ GridNets 2009+ Athens+ Greece+ September 8-9+ 2009 : revised selected papers, , c2010
193, Mobile networks and management : first international conference+ MONAMI 2009+ Athens+ Greece+ October 13-14+ 2009+ revised selected papers, , c2010
194, Facets of virtual environments : first international conference+ FaVE 2009+ Berlin+ Germany+ July 27-29+ 2009+ revised selected papers, , c2010
195, Membrane computing : 11th international conference+ CMC 2010+ Jena+ Germany+ August 24-27+ 2010 : revised selected papers, , 2010
196, Algorithms and computation : 21st international symposium+ ISAAC 2010+ Jeju Island+ Korea+ December 15-17+ 2010 : proceedings, , ©2010
197, Parameterized and exact computation : 5th international symposium+ IPEC 2010+ Chennai+ India+ December 13-15+ 2010 : proceedings, , 2010
198, Applied and numerical partial differential equations : scientific computing in simulation+ optimization and control in a multidisciplinary context, , c2010
199, High performance computing systems and applications : 23rd international symposium+ HPCS 2009+ Kingston+ ON+ Canada+ June 14-17+ 2009 : revised selected papers, , c2010
200, Contemporary computing : third International Conference+ IC3 2010+ Noida+ India+ August 9-11+ 2010+ Proceedings. Part I, , c2010
201, Contemporary computing : third international conference+ IC3 2010+ Noida+ India+ August 9-11+ 2010+ proceedings. Part II, , c2010
202, Artificial neural networks in pattern recognition : 4th IAPR TC3 Workshop+ ANNPR 2010+ Cairo+ Egypt+ April 11-13+ 2010 : proceedings, , c2010
203, ECOOP 2010 - object-oriented programming : 24th European Conference+ Maribor+ Slovenia+ June 21-25+ 2010 ; proceedings, , 2010
204, Abstract state machines+ Alloy+ B and Z : Second International Conference+ ABZ 2010+ Orford+ QC+ Canada+ February 22-25+ 2010 ; proceedings, , ©2010
205, Applied cryptography and network security : 8th international conference+ ACNS 2010+ Beijing+ China+ June 22-25+ 2010 ; proceedings, , 2010
206, Verified software: theories+ tools+ experiments : third international conference+ VSTTE 2010+ Edinburgh+ UK+ August 16-19+ 2010 : proceedings, , 2010
207, Distributed computing : 24th international symposium+ DISC 2010+ Cambridge+ MA+ USA+ September 13-15+ 2010 : proceedings, , 2010
208, Time for verification : essays in memory of Amir Pnueli, , c2010
209, Algorithm engineering : bridging the gap between algorithm theory and practice, , 2010
210, Architecture of computing systems+ ARCS 2010 : 23rd international conference+ Hannover+ Germany+ February 22-25+ 2010 : proceedings, , c2010
211, Advanced intelligent computing theories and applications : 6th International Conference on Intelligent Computing+ ICIC 2010+ Changsha+ China+ August 18-21+ 2010. proceedings, , c2010
212, Distributed computing and networking : 11th international conference+ ICDCN 2010+ Kolkata+ India+ January 3-6+ 2010 : proceedings, , c2010
213, Time for verification : essays in memory of Amir Pnueli, , 2010
214, Unconventional computation : 9th international conference+ UC 2010+ Tokyo+ Japan+ June 21-25+ 2010 ; proceedings, , 2010
215, Graph drawing : 17th international symposium+ GD 2009+ Chicago+ IL+ USA+ September 22-25+ 2009 : revised papers, , c2010
216, Parallel processing and applied mathematics : 8th international conference+ PPAM 2009+ Wrocław+ Poland+ September 13-16+ 2009 : revised selected papers. Part I, , c2010
217, Parallel processing and applied mathematics : 8th international conference+ PPAM 2009+ Wrocław+ Poland+ September 13-16+ 2009 : revised selected papers. Part II, , c2010
218, Advances in swarm intelligence : first international conference+ ICSI 2010+ Beijing+ China+ June 12-15+ 2010 ; proceedings, , ©2010
219, Logic-based program synthesis and transformation : 19th international symposium+ LOPSTR 2009+ Coimbra+ Portugal+ September 2009 : revised selected papers, , c2010
220, Leveraging applications of formal methods+ verification+ and validation : 4th International Symposium on Leveraging Applications+ ISoLA 2010+ Heraklion+ Crete+ Greece+ October..., , 2010
221, Combinatorial optimization and applications : 4th international conference+ COCOA 2010+ Kailua-Kona+ HI+ USA+ December 18-20+ 2010+ proceedings. Part I, , c2010
222, Hybrid metaheuristics : 7th international workshop+ HM 2010+ Vienna+ Austria+ October 1-2+ 2010 : proceedings, , 2010
223, Artificial immune systems : 9th International Conference+ ICARIS 2010+ Edinburgh+ UK+ July 26-29+ 2010. Proceedings, , ©2010
224, Principles of distributed systems : 14th international conference+ OPODIS 2010+ Tozeur+ Tunisia+ December 14-17+ 2010 : proceedings, , 2010
225, Interactive theorem proving : first international conference+ ITP 2010+ Edinburgh+ UK+ July 11-14+ 2010 : proceedings, , ©2010
226, Graph drawing : 17th international symposium+ GD 2009+ Chicago+ IL+ USA+ September 22-25+ 2009 : revised papers, , ©2010
227, Cellular automata : 9th International Conference on Cellular Automata for Research and Industry+ ACRI 2010+ Ascoli Piceno+ Italy+ September 21-24+ 2010 : proceedings, , 2010
228, Computer algebra in scientific computing : 12th international workshop+ CASC 2010+ Tsakhkadzor+ Armenia+ September 6-12+ 2010 : proceedings, , 2010
229, Trustworthly [sic] global computing : 5th international symposium+ TGC 2010+ Munich+ Germany+ February 24-26+ 2010 : revised selected papers, , 2010
230, High performance computing and applications : second international conference+ HPCA 2009+ Shanghai+ China+ August 10-12+ 2009 : revised selected papers, , ©2010
231, Advances in computer games : 12th international conference+ ACG 2009+ Pamplona+ Spain+ May 11-13+ 2009 : revised papers, , c2010
232, Advanced intelligent computing theories and applications : 6th International Conference on Intelligent Computing+ ICIC 2010+ Changsha+ China+ August 18-21+ 2010. Proceedings, , c2010
233, Ubiquitous computing and multimedia applications : international conference+ UCMA 2010+ Miyazaki+ Japan+ June 23-25+ 2010. Proceedings, , c2010
234, Programming languages, Gabbrielli+ Maurizio, 2010
235, Systems+ software and services process improvement : 17th European Conference+ EuroSPI 2010+ Grenoble+ France+ September 1-3+ 2010+ proceedings, , c2010
236, Security-enriched urban computing and smart grid : first International Conference+ SUComS 2010+ Daejeon+ Korea+ September 15-17+ 2010+ proceedings, , c2010
